churn,total day minutes,total day calls,total eve minutes,customer service calls,international plan,voice mail plan,number vmail messages,service_call_rate,total_calls,Churn Status
False,265.1,110,197.4,1,no,yes,25,0.003289473684210526,303,Not Churned
False,161.6,123,195.5,1,no,yes,26,0.003003003003003003,332,Not Churned
False,243.4,114,121.2,0,no,no,0,0.0,333,Not Churned
False,299.4,71,61.9,2,yes,no,0,0.0078125,255,Not Churned
False,166.7,113,148.3,3,yes,no,0,0.008333333333333333,359,Not Churned
False,223.4,98,220.6,0,yes,no,0,0.0,323,Not Churned
False,218.2,88,348.5,3,no,yes,24,0.009316770186335404,321,Not Churned
False,157.0,79,103.1,0,yes,no,0,0.0,275,Not Churned
False,184.5,97,351.6,1,no,no,0,0.003676470588235294,271,Not Churned
False,258.6,84,222.0,0,yes,yes,37,0.0,297,Not Churned
True,129.1,137,228.5,4,no,no,0,0.011834319526627219,337,Churned
False,187.7,127,163.4,0,no,no,0,0.0,374,Not Churned
False,128.8,96,104.9,1,no,no,0,0.003355704697986577,297,Not Churned
False,156.6,88,247.6,3,no,no,0,0.01056338028169014,283,Not Churned
False,120.7,70,307.2,4,no,no,0,0.015873015873015872,251,Not Churned
True,332.9,67,317.8,4,no,no,0,0.013245033112582781,301,Churned
False,196.4,139,280.9,1,no,yes,27,0.003236245954692557,308,Not Churned
False,190.7,114,218.2,3,no,no,0,0.008571428571428572,349,Not Churned
False,189.7,66,212.8,1,no,yes,33,0.004081632653061225,244,Not Churned
False,224.4,90,159.5,1,no,no,0,0.00392156862745098,254,Not Churned
False,155.1,117,239.7,0,no,no,0,0.0,347,Not Churned
True,62.4,89,169.9,5,no,no,0,0.017793594306049824,280,Churned
False,183.0,112,72.9,0,no,no,0,0.0,308,Not Churned
False,110.4,103,137.3,2,no,no,0,0.006309148264984227,316,Not Churned
False,81.1,86,245.2,0,no,no,0,0.0,275,Not Churned
False,124.3,76,277.1,3,no,no,0,0.009708737864077669,308,Not Churned
False,213.0,115,191.1,0,no,yes,39,0.0,345,Not Churned
False,134.3,73,155.5,3,no,no,0,0.012195121951219513,245,Not Churned
False,190.0,109,258.2,0,no,no,0,0.0,301,Not Churned
False,119.3,117,215.1,1,no,no,0,0.0031446540880503146,317,Not Churned
False,84.8,95,136.7,2,no,no,0,0.006389776357827476,312,Not Churned
False,226.1,105,201.5,1,no,no,0,0.0031645569620253164,315,Not Churned
False,212.0,121,31.2,3,no,no,0,0.009230769230769232,324,Not Churned
True,249.6,118,252.4,1,no,no,0,0.0030211480362537764,330,Churned
False,176.8,94,195.0,0,no,yes,25,0.0,289,Not Churned
False,220.0,80,217.3,3,no,yes,37,0.011538461538461539,259,Not Churned
False,146.3,128,162.5,0,no,yes,30,0.0,323,Not Churned
False,130.8,64,223.7,1,no,no,0,0.003401360544217687,293,Not Churned
